toxic,detox
Бу нәтиҗәне син ебланча язгансың.,Бу нәтиҗәне син бик аңлашылмыйча язгансың.
"Монда кемдер тагын розетканы ватып куйган, шайтан алгыры","Монда кемдер розетканы ватып куйган, ремонт кирәк"
Бүген синең әйткәннәрең — тулы пиздец.,Бүген синең әйткәннәрең — тулы бик начарлык.
"Бу бәяләр хрень булып күтәрелгән, акылга сыймый","Бәяләр артык күтәрелгән, акылга сыймый"
"Бу чатта син үзеңне еблан кебек тотасың, гел провокация.","Бу чатта син үзеңне бик аңлашылмыйча тотасың, гел провокация."
Син кичә еблан җаваплар белән клиентны югалттың.,Син кичә бик аңлашылмыйча җаваплар белән клиентны югалттың.
оятсыз тэрбиясез манка малай,оятсыз тэрбиясез манка малай
Синең бу хәрәкәтең бөтенләй чамасыз булды.,Синең бу хәрәкәтең чамадан тыш булды.
"Бу баганага кем суккан, хуй белә, бөгелгән","Бу багана бөгелгән, төзәтү кирәк"
Кичә син презентацияне еблан рәвешендә үткәрдең.,Кичә син презентацияне бик аңлашылмыйча рәвештә үткәрдең.
"Кибеттә кемдер мине этеп куйды, җенетем кузгала башлады","Кибеттә кемдер этеп куйды, бу бик күңелсез"
"""Кайсыбер марҗалар минем белән йөрергә телиләр.","""Кайсыбер марҗалар минем белән йөрергә телиләр."
"Процессларың хуй кебек корылган, беркойда тәртип юк.","Процессларың бик начар корылган, беркойда тәртип юк."
алар гайлэ бутаучы хэсис гайбэтчелэр!!!кутак та белмилэр алар!,алар гайлэ бутаучы хэсис гайбэтчелэр!!!артык тупас сүзак та белмилэр алар!
чын бер кутак авыз булдын инде син оятсыз,чын бер артык тупас сүзак авыз булдын инде син оятсыз
"Синең бу аңлатма — тулы хуйнә, берни аңлашылмый.","Синең бу аңлатма — тулы урынсызлык, берни аңлашылмый."
Мондагы тавыш җен кебек котырта,Мондагы тавыш тынычлык бирмичә котырта
"Мин бу хәлгә төштем дә, блять, нишләргә белмәдем","Бу хәлгә төшкәч, нишләргә белмәдем"
Син кичә ебланча шаяртулар белән бар кешене туздырдың.,Син кичә бик аңлашылмыйча шаяртулар белән бар кешене туздырдың.
Син нәрсә тагын хуйнә бастырып чыгаргансың?,Син нәрсә тагын урынсыз әйбер бастырып чыгаргансың?
Бу бурычны үтәгән кеше хуй белән генә караган ахры,Бу бурычны үтәгәндә җаваплылык җитмәгән
Бу аңлатма — ебланнарча язылган.,Бу аңлатма — бик аңлашылмыйча язылган.
бердэ быкылтамыйсын эле син ильшат))),бердэ быкылтамыйсын эле син ильшат)))
Син тагын тулы хуйнә әйтеп куясың.,Син тагын тулы урынсыз әйтеп куясың.
"кем эйтмешли, х_йня ул-тазалык булсын!)","кем эйтмешли, х_йня ул-тазалык булсын!)"
"Кемдер тагын тәрәзәне ачык калдырган, җенетем кузгала","Кемдер тәрәзәне ачык калдырган, һәм йорт суытып киткән"
Заебали инде сезгэ барыбер тугелме?! Сезне селкетэме сон ул кулмэк?!,Заярамый сүзали инде сезгэ барыбер тугелме?! Сезне селкетэме сон ул кулмэк?!
Нигә син шулай кискен генә җавап бирәсең?,Нигә син шулай кыска һәм кырыс җавап бирәсең?
"Барысыныкыда шундый күт , берсенекнедә тишекләре аркылы түгел.",Барысыныкыда шундый артык тупас сүзберсенекнедә тишекләре аркылы түгел.
"Син бу мәсьәләгә бөтенләй карамыйсың, хрень кебек",Син бу мәсьәләгә бөтенләй игътибар бирмисең
"Шуна таба бара инде мин считаю что нормально чонки кошелэрне житэрлек тудырдылар , кубэйделэр куда деваться не известно кызлар почти тумый или толстушкалар одни кривожопые которым денежный и сильный мужик нужен.","Шуна таба бара инде мин считаю что нормально чонки кошелэрне житэрлек тудырдылар , кубэйделэр куда деваться не известно кызлар почти тумый или толстушкалар одни кривожопые которым денежный и сильный мужик нужен."
Мондагы структура — пиздец дәрәҗәсендә бозылган.,Мондагы структура — бик начар дәрәҗәдә бозылган.
Бу аңлатма — чын хуй.,Бу аңлатма — чын начар әйбер.
"Бу органайзерны кем урлаган, хуй белә","Оештыручы әйбер югалган, кем алган — билгесез"
Мондый дорфалыкны аңлап булмый.,Мондый тупаслыкны аңлап булмый.
башта иснэрлэр дэ аннары шуны ук сегеп тэ китэрлэр. никлэр генэ чакырдым икэн диярсен.,башта иснэрлэр дэ аннары шуны ук сегеп тэ китэрлэр. никлэр генэ чакырдым икэн диярсен.
"Әле тагын бер хуйнә сөйләсәң, чыдамлык бетә.","Әле тагын бер урынсыз сүз сөйләсәң, чыдамлык бетә."
"Нигә син болай акырып йөрисең, блять, кешеләргә тынычлык юк","Нигә син болай кычкырасың, кешеләргә тынычлык юк"
"Кемдер тагын микродулкынлы мичне яндырган, шайтан алгыры","Монда кемдер микродулкынлы мичне яндырган, саксызлык зур"
"Бу болытлар җен кебек кайнап тора, яңгыр килә ахры","Болытлар бик көчле, яңгыр якынлаша кебек"
Син тагын кеше әйберен сүтеп ташладың!,Син тагын кеше әйберен бозып куйдың!
Синен аягын сызлаганга буген кон импотент ку..гы шикелле булгандыр инде!!!,Синен аягын сызлаганга буген кон импотент ку..гы шикеллярамый сүзулгандыр инде!!!
"- Уф, булды, җитте! Син, син... убырлы карчык! Әйе, у-быр-лы кар-чык!","- Уф, булды, җитте! Син, син... убырлы карчык! Әйе, у-быр-лы кар-чык!"
Бу әйткән сүзең бөтенләй шик тудыра.,Бу әйткән сүзең шомландыра.
Хз чыгарам кызлар кайсыгызнын куресе киле,Хз чыгарам кызлар кайсыгызнын куресе киле
"кит моннан нах.й, юкса артык сүз әйтеп ташлармын","кит моннан кирәкмий, юкса артык сүз әйтеп ташлармын"
"Бу сорау тиле, хрень генә уйлап чыгарганнар",Бу сорау бик уйланмаган кебек
ул хули нэрсэгэ язып торасын сон син аны?кеше колкесе.туерлык нэрсэ кургэнен бар сон синен!,ул хули нэрсэгэ язып торасын сон син аны?кеше колкесе.туерлык нэрсэ кургэнен бар сон синен!
"Ник сез гел русча язасыс???Бөтен постлар русча.Сез татарлар түгел, сез урысларга өйләгенсез!","Ник сез гел русча язасыс???Бөтен постлар русча.Сез татарлар түгел, сез урысларга өйләгенсез!"
"а то сразу бэйлэнэ башлыйлар- выпендриваешься,футболистлары ошаган очен генэ карыйсын дип.не надо так)","а то сразу бэйлэнэ башлыйлар- выпендриваешься,футболистлары ошаган очен генэ карыйсын дип.не надо так)"
урыс булсамда заебали сузенен мэгънэсен анлыйм була тугелме сон инде?!,урыс булсамда заярамый сүзали сузенен мэгънэсен анлыйм була тугелме сон инде?!
"Нинди хэл ул,кут курсэтеп йорергэ?!","Нинди хэл ул,артык тупас сүзкурсэтеп йорергэ?!"
"Син тагын утны сүндерергә оныткансың, блять, ничек шулай була","Син тагын утны сүндерергә оныткансың, сак булырга кирәк"
Син бүген артык төчкереп сөйләшәсең.,Син бүген артык коры сөйләшәсең.
Син тагын ебланча нәтиҗә чыгаргансың.,Син тагын бик аңлашылмыйча нәтиҗә чыгаргансың.
Председательнын актык жыры сука,Председательнын актык жыры явыз кеше
Без өйдә ремонт башларга дип карар кылдык,Без өйдә ремонт башларга дип карар кылдык
"Проект әлегә хуйнә кебек күренә, ясалмаган.","Проект әлегә урынсыз кебек күренә, ясалмаган."
Син нәрсә тагын хуйча эшләдең?,Син нәрсә тагын начарча эшләдең?
"Нәрсә син, уҗым бозавы, мине котыртасың? Нәрсә өсләтәсең?","Нәрсә син, уҗым бозавы, мине котыртасың? Нәрсә өсләтәсең?"
Бу проект — хуйча башкарылган.,Бу проект — начарча башкарылган.
Апанны эзрэк жэллэ тилермэ бу бит якшы нэрсэ тугел...акылсыз тугелдер бит син?!!!!!!,Апанны эзрэк жэллэ тилермэ бу бит якшы нэрсэ тугел...акылсыз тугелдер бит син?!!!!!!
сукалар кузгэ карап ыргыталар! авызларына или ыштаннарына тыгып шартлатсыннар инде чыдай алмагач!,явыз кеше лар кузгэ карап ыргыталар! авызларына или ыштаннарына тыгып шартлатсыннар инде чыдай алмагач!
Чупре тугыз Айдан купре мене шунан Син чыктын секс мекс,Чупре тугыз Айдан купре мене шунан Син чыктын секс мекс
Күтең проходной двор ишеге.,артык тупас сүзең проходной двор ишеге.
"Карале, син бүген бөтенләй хуйнә хәлләр ясыйсың.","Карале, син бүген бөтенләй урынсыз хәлләр ясыйсың."
Бу әйткәннәрең бөтенләй урынсыз вакытта яңгырады.,Бу әйткәннәрең урынсыз вакытта яңгырады.
Дурак булырга кирэк бу яштэ ойлэнергэ!!!,Дурак булырга кирэк бу яштэ ойлэнергэ!!!
Бу карашың кырыс тоела.,Бу карашың бераз кырыс яңгырый.
"Русалкаларныңда төрле се бар , бляд.","Русалкаларныңда төрле сярамый сүзар , блинд."
атам да утерэм лиж бы кермэ жаныма уз презикбелэн,атам да утерэм лиж бы кермэ жаныма уз презикбелэн
"- Кире кэжэ син , Гата !","- Кире кэжэ син , Гата !"
Кутак карап баргач шул була инде!!!,артык тупас сүзак карап баргач шул була инде!!!
Болай тон күтәреп сөйләшүең урынсыз.,Болай тавыш күтәреп сөйләшү урынсыз.
Әнә теге кеше тагын минем нервларны җенетеп боза.,Әнә теге кеше тагын минем нервларны нык боза.
Мондый ебланча җавапны ничек биреп була?,Мондый бик аңлашылмыйча җавапны ничек биреп була?
Мондагы текст — пиздец дәрәҗәсендә чуалчык.,Мондагы текст — бик начар дәрәҗәдә чуалчык.
Сойлэшу блэт кешедэ! Тьфуу!,Сойлэшу блинкешедэ! Тьфуу!
Мондый дорфа җавап бирүең бөтен төркемне аптыратып куйды.,Мондый тупас җавап бөтен төркемне аптырашта калдырды.
"""Пиздец инде сез"" дип... Монда утыручыларнын ни гаебе бар? Ник безне сугэсен?","""бик начар хәлинде сез"" дип... Монда утыручыларнын ни гаярамый сүзярамый сүзар? Ник безне сугэсен?"
Син тагын хуй фикер әйтеп куйдың.,Син тагын начар фикер әйтеп куйдың.
Син бүген бөтенләй җайсызрак сөйләшәсең.,Син бүген җайсызрак сөйләшәсең.
"Бу Актанышта, бер нормальный кыз калмады! Дустым эйтмешли: -ботенесе биюче хэм блэт!","Бу Актанышта, бер нормальный кыз калмады! Дустым эйтмешли: -ботенесярамый сүзиюче хэм блин"
Бу текст — ебланча аңлатма кебек.,Бу текст — бик аңлашылмыйча аңлатма кебек.
"Мистер, сегенмэ,мужикларда куп заднеприводных","Мистер, сегенмэ,мужикларда куп заднеприводных"
вот сина мотиваторлар!!!!! Жопу подними дигэннэр! Ешь мало дигэннэр!!! Сразу яшисенлэрен килеп киттеме??,вот сина мотиваторлар!!!!! Жопу подними дигэннэр! Ешь мало дигэннэр!!! Сразу яшисенлэрен килеп киттеме??
Усырып утырам,Усырып утырам
эшлисен килмэсэ пашул нахуй африкана,эшлисен килмэсэ пашул кирәкмиафрикана
"Монда тагын ут өзелде, шайтан алгыры, ничә тапкыр инде",Монда тагын ут өзелгән
Алып аттыр нахуй кирэк ул,Алып аттыр кирәкмикирэк ул
Мондагы анализ — тулы пиздец.,Мондагы анализ — тулы бик начар нәрсә.
"Реакцияң ебланча булды, кешене тагын да ярсыттың.","Реакцияң бик аңлашылмыйча булды, кешене тагын да ярсыттың."
Админ тагын астына сиеп ята.,Админ тагын астына сиеп ята.
"Кызым,ойдэ генэ кутенне кыстырып,китаплар укып кына ят!!!!!","Кызым,ойдэ генэ артык тупас сүзенне кыстырып,китаплар укып кына ят!!!!!"
Куткэ типкэн иде даже кесэдэге ачкыч та кэкерэйгэн иде!,артык тупас сүзкэ типкэн иде даже кесэдэге ачкыч та кэкерэйгэн иде!
"Кутакбашлар,бердэ чэйнэми эле,тора почмакта","артык тупас сүзакбашлар,бердэ чэйнэми эле,тора почмакта"
"Син һәр нәрсәдә үзеңне өстен куеп сөйләшәсең, бу кулай түгел.","Син һәр нәрсәдә үз фикереңне генә әйтеп куясың, бу кулай түгел."
Бу машинаның двигателе тагын хуй белә ни кыра башлады,Машина двигателе тагын сәер тавыш чыгара башлады
"Көндез без кафега кереп, тәмле десерт ашап алдык","Көндез без кафега кереп, тәмле десерт ашап алдык"
монда шул жыен кутак башлар гына утыралар инде. пиздаболлар басып торалардыр,монда шул жыен артык тупас сүзак башлар гына утыралар инде. ярамый сүзаболлар басып торалардыр
"Тагын шул ук хатаны кабатладың бит, нигә тыңламыйсың?","Тагын шул ук хатаны кабатладың, ник тыңламыйсың?"
Башта язырга өйрән кутакбаш,Башта язырга өйрән артык тупас сүзакбаш
"бер килеп чэпелгэч анларсын узеннен ""секмим дэ"" булганынны!","бер килеп чэпелгэч анларсын узеннен ""секмим дэ"" булганынны!"
"Хаттаң — чистый хуйнә, мәгънәсе юк.","Хаттаң — чистый урынсыз, мәгънәсе юк."
