"toxic","detox"
"Мин бу эшне карамы да эшли алмыйм, нәрсә за блять килеп чыкты соң","Мин бу эшне бөтенләй эшли алмыйм, нәрсә за проблема килеп чыкты соң"
"Нигә син бүген тагын шул ук хреньне кылдың, башың бөтенләй эшләми мени","Нигә син бүген тагын шул ук нәрсәне кылдың, башың бөтенләй эшләми мени"
"Бу план бөтенләй пычрак булды, кем тагын шулай чүпләп куйган пиздец","Бу план бөтенләй бозылган, кемдер бик начар башкарган"
"Әнә теге кеше минем нервларны чын мәгънәсе белән боза, җенетем кузгала","Әнә теге кеше минем нервларны бик нык боза, тынычлык юк"
"Бүгенге проект бөтенләй барып чыкмады, ахры кемдер хуй белән эшләгән","Проект барып чыкмады, ахры кемдер җавапсыз эшләгән"
"Нигә син бу вакытта шулай ахмак булып кала беләсең, башыңа җен кунганмы","Нигә син бу мизгелдә шулай ахмак хәлдә калдың, уйлап эшләргә кирәк иде"
"Бу компьютер тагын ватыла башлады, шайтан алгыры, нәрсә за пиздец булды тагын","Бу компьютер тагын эшләми башлады, зур проблема туды"
"Мин бу маршрутны беләм дип уйлаган идем, ләкин юк — блять, югалып беттем","Мин маршрутны беләм дип уйлаган идем, ләкин юк — югалып беттем"
"Син бу сүзне ник әйттең, ахмак, бөтен хәлне боздың бит инде","Син бу сүзне ник әйттең, ахмаклык итеп, хәлне тагын да катлауландырдың"
"Бүген тагын күземә шушы ук тиле күренде, җен аласын, ару бирми","Бүген тагын шул ук тиле очрады, тынычлык бирми"
"Бу документлар пычрак хәлдә, кемдер тагын хуй белә ни эшләгән","Бу документлар бик начар хәлдә, кемдер саксыз эшләгән"
"Мин сине күптән әйтәм инде: болай эшләсәң пиздец була","Мин сиңа күптән әйтәм: болай эшләсәң, нәтиҗә бик начар булачак"
"Әнә теге тавыш бөтенләй нервны ашый, шайтан да мондыйны түзми","Әнә теге тавыш бөтенләй нервны боза, түзәрлек түгел"
"Монда ниндидер тиле килеп кергән, нәрсә за блять дип утыра ул анда","Монда бер тиле кеше кергән, нәрсә өчен утыра — аңлашылмый"
"Бу проектның сроки — бөтенләй ахмакча, кем уйлап чыгарган моны","Бу сроки бөтенләй уйланмаган, кем чыгарган моны"
"Синең карарларың кайчак шулкадәр тилесә, җен дә көлеп үлә торган","Синең карарларың кайчак шулкадәр тилесә, хәтта көлке"
"Нигә син болай акырып йөрисең, блять, кешеләргә тынычлык юк","Нигә син болай кычкырасың, кешеләргә тынычлык юк"
"Әнә теге телефон тагын батареясын салып ташлады, шайтан эшедер","Телефон тагын сүнде, бу инде ару китерә"
"Мин бу җирдә тагын югалдым, хрень булса да, кеше кебек эшләми","Мин монда тагын югалдым, билгеләр юк, уңайсыз"
"Син бу әйберне кулга тотып та карамагансың, блять, күренеп тора","Син әйберне карамагансың да, бу күренеп тора"
"Кемдер монда шулай тапталып йөри, җен аласын, урын юк","Монда кемдер урын калдырмыйча йөреп чыккан, уңайсызлык тудыра"
"Бу адым синең иң ахмак кылган гамәлең бу, хуй белә ни уйладың","Бу адым синең иң ахмак фикерең булды, нәрсә уйладың икән"
"Нигә син бу пакетка шундый чүп тутыргансың, пиздец кына","Нигә син бу пакетка болай чүп тутыргансың, тәртип юк"
"Бу мәлгунь тагын шалтырата, җен аласын, тынычлап булмый","Бу кеше тагын шалтырата, тынычлык бирми"
"Мин бу бурычны үтәп булмый дип әйткән идем, блять, тыңламадың","Мин әйткән идем: бу бурычны болай үтәп булмый, син тыңламадың"
"Тагын кемдер монда бөтен әйберне чәчеп ташлады, шайтан төкерсен","Монда тагын бөтен әйберне чәчеп ташлаганнар, тәртип юк"
"Бу эш урынында пычрак сүзләр генә йөри, нервлар бетә","Бу хезмәт урынында дорфа сүзләр күп, нервлар бетә"
"Нигә син тагын соңга калдың, блять, бу бит инде унбишенче тапкыр","Нигә син тагын соңга калдың — инде ничә тапкыр"
"Бу аш бөтенләй тозсыз, хрень генә пешергәнсең ахры","Бу аш бөтенләй уңышсыз пешерелгән"
"Син шулай эшли башласаң, безгә пиздец киләчәк","Син болай эшләсәң, безгә зур проблема булачак"
"Әнә теге кеше мине әсәрләндерә, җен аласын, тыныч китми","Теге кеше мине түземлектән чыгара, тыныч китми"
"Бу таблицада тагын хата, хуй белә кем керткән","Таблицада тагын хата, кем керткән икән"
"Мин бу хәбәрне ишеткәч, бөтенләй блять аптырадым","Хәбәрне ишеткәч, аптырап калдым"
"Нигә син телефонны өстәлдән бәреп төшердең, ахмак","Телефонны бәреп төшердең, саксызлык"
"Бу проектның логикасы — чистый пиздец","Проектның логикасы бик начар хәлдә"
"Мин сиңа әйттем бит инде, бу хәрәкәт — блять кирәк түгел иде","Мин сиңа әйткән идем: бу хәрәкәт кирәк түгел иде"
"Кибеттә кемдер мине этеп куйды, җенетем кузгала башлады","Кибеттә кемдер этеп куйды, бу бик күңелсез"
"Бу бәяләр хрень булып күтәрелгән, акылга сыймый","Бәяләр артык күтәрелгән, акылга сыймый"
"Син мине шулай тыңламый башласаң, безгә проблема булачак","Син тыңламый башласаң, проблема чыгарачак"
"Монда кемдер тагын ахмакларча карар чыгарган","Монда тагын бик начар карар кабул иткәннәр"
"Әнә теге бандероль тагын югалган, шайтан алгыры","Бандероль тагын югалган, бу инде туйдырды"
"Син болай эшләсәң, бөтен план пиздецка китә","Син болай эшләсәң, план бозылачак"
"Бу машинаның двигателе тагын хуй белә ни кыра башлады","Машина двигателе тагын сәер тавыш чыгара башлады"
"Мин монда килеп кергәндә — блять, тагын сугышып утыралар иде","Мин кергәч, алар тагын талашып утыра иде"
"Бу хәл минем нерв системасын шартлата, җен аласын","Бу хәл миңа бик зур киеренкелек бирә"
"Син әйткән фикер шулай тиле яңгырый, түгел ничек аңларга","Бу фикер тиле яңгырый, аңларлык түгел"
"Мин бу очракны күрдем дә, пиздец дип уйладым","Бу очракны күреп, бик авыр хәл дип уйладым"
"Бу фатирда кемдер тагын лампаны ватып чыккан","Фатирда кемдер лампаны тагын ваткан"
"Синең сүзләр кайчак чистый блять ахмаклык","Синең сүзләр кайчак зур ахмаклык булып яңгырый"
"Бу җирдә кемдер тагын хрень ясаган, аңлашылмый","Монда кемдер тагын нәрсәдер бозган, аңлашылмый"
"Мондагы тавыш җен кебек котырта","Мондагы тавыш тынычлык бирмичә котырта"
"Бу карточка тагын блокировкаланган, хуй белә ник","Карточка тагын блокировкаланган, ни өчен — аңлашылмый"
"Мин бу хәлгә төштем дә, блять, нишләргә белмәдем","Бу хәлгә төшкәч, нишләргә белмәдем"
"Син болай сөйләшә башлагач, җен дә куркып качар","Син болай сөйләшә башлагач, хәтта тыныч кеше дә куркып китәр"
